text_clean,label,pred,word_count,unique_ratio,lexical_entropy,sentiment
tomorrow split come playing pso borderland today stream either way stream underway today still looking forward hanging hope weekend good pic twitter com x crvuk pq,1,2,26,0.9230769230769231,4.5465935642949376,0.7
probably going completely log social medium day buckle take care even normal online class work week plus want still work borderland hit steam back ever done junk,2,0,27,0.9629629629629629,4.680813428089396,0.07083333333333333
particular piece medium u cannot see watching particular excuse like awful hate seeing mine borderland anything dnd related,1,0,18,0.9444444444444444,4.058813890331201,-0.25277777777777777
streaming weird note desperately trying get drunk nine hour patron friend another tab worst getting lost pls send viewer unk tv fbalfour,1,0,22,1.0,4.459431618637296,-0.65
forgot mention last stream thanks dxpro borderland sl raid last night appreciated raided icekingroxas tonight hit follower go show love jump borderland action,1,2,23,0.9130434782608695,4.349648912578752,0.16666666666666666
full moon turned around guy revolver guy whistled breast worse mordecai felt stupid leg worse spectator got well left story border guard,1,0,22,0.9090909090909091,4.277613436819115,-0.25
literally free moment reason try course would recommend play borderland game game storytelling purpose free forever get anyway,2,0,18,0.8888888888888888,3.94770277922009,0.0
ross production service teamed alliance ncompass create multiplayer game mode worldwide line duty black ops cold war amazing discovery local production cloud played huge part,1,2,25,0.96,4.563856189774725,-0.027777777777777724
time despite fact currently million people living poverty line access health service access health care access health care,2,1,18,0.7222222222222222,3.530493056757482,0.0
italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy italy,0,1,99,0.010101010101010102,-0.0,0.0
god dont care whatever shit fucking retcon whatever subtle subversion game gonna wanna play zombie fuck cod,1,0,17,0.9411764705882353,3.9698157824268097,-0.3866666666666666
really enjoyed enjoying game one thing always sometimes say spawn flip easily flip kind kind often nice spawn trapped half damned annoying getting shot back spawn flipped,1,2,27,0.8518518518518519,4.430632409490749,0.15151515151515152
time despite fact currently million people living poverty line access health service access health care access health care,0,1,18,0.7222222222222222,3.530493056757482,0.0
mf getting sucked survival mode cold war black ops black ops created something none yall shit,2,0,16,0.875,3.75,-0.2833333333333333
time despite fact currently million people living poverty line access health service access health care access health care,0,1,18,0.7222222222222222,3.530493056757482,0.0
whoever order without amazon within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within within w,0,2,51,0.11764705882352941,0.6903890678808564,0.0
time despite fact currently million people living poverty line access health service access health care access health care,2,1,18,0.7222222222222222,3.530493056757482,0.0
trying make friend reaper like winston still panicked went hard court rage jump like whore son trying say hello whole match calling garbage even harming qp lose,1,0,27,0.9259259259259259,4.606739354015321,-0.04583333333333334
time despite fact currently million people living poverty line access health service access health care access health care,2,1,18,0.7222222222222222,3.530493056757482,0.0
imagine complaining wanting realistic body proportion overwatch character eye literally size fist shut fuck let artist want,2,0,17,1.0,4.087462841250339,-0.11666666666666668
imagine complaining wanting fucking realistic body proportion overwatch character eye literally size fist shut fuck let even graphic artist actually exactly want,2,0,22,1.0,4.459431618637296,0.004166666666666659
